n	lnL	lambda	mu	psi	rho
12400	19.6152	3.48453	0.105062	1.88759	0.378517
12500	23.721	4.79824	0.274276	1.90217	0.197757
12600	14.8006	2.74566	1.35388	1.30972	0.461658
12700	21.7744	4.02155	0.336911	1.89266	0.261237
12800	20.7218	4.19331	1.02574	1.5835	0.448924
12900	22.516	4.43703	1.52312	2.21894	0.210808
13000	19.4536	3.62737	1.08124	1.44434	0.249289
13100	19.0136	3.30452	0.035859	2.21765	0.192122
13200	20.2136	3.73226	1.08117	1.98215	0.201834
13300	18.9128	3.52497	0.0957067	1.27598	0.320678
13400	15.0623	2.59599	0.0421143	1.48445	0.411815
13500	21.1098	4.31753	1.42757	1.27585	0.338072
13600	21.7064	4.53391	0.552125	3.33397	0.16448
13700	20.1796	3.57132	0.832222	1.90903	0.275156
13800	22.9734	4.97425	0.0792323	1.82347	0.386426
13900	21.1935	4.37833	1.68562	1.43317	0.184474
14000	15.5597	3.236	0.0540099	0.903409	0.399514
14100	15.1243	2.61123	0.0579029	2.05418	0.506995
14200	11.9076	2.63225	1.33746	0.843769	0.451932
14300	18.3095	3.37117	0.0160314	1.85558	0.461267
14400	15.6376	3.18491	0.287386	0.930509	0.388641
14500	20.1789	3.97002	1.20613	1.77178	0.483698
14600	19.9616	4.81343	0.359842	2.35255	0.0693887
14700	19.8485	3.63175	0.44986	2.20233	0.445468
14800	20.1786	3.50118	0.021344	1.9828	0.281745
14900	18.8005	3.75874	0.736309	1.74943	0.530705
15000	13.981	2.40459	0.953573	1.75261	0.503147
15100	21.7851	4.12025	1.52569	1.88147	0.311379
15200	19.3096	3.2799	0.0234441	2.64253	0.358832
15300	16.9272	3.36411	0.456812	1.0084	0.364795
15400	11.8394	2.154	0.636289	1.46269	0.503383
15500	17.2924	3.0048	0.553133	1.47788	0.287244
15600	12.9003	2.05178	0.100416	2.08265	0.423232
15700	19.416	3.6436	0.977001	1.38625	0.341998
15800	17.0931	3.08628	0.920138	2.66945	0.573812
15900	17.387	3.03098	1.53541	1.65937	0.32096
16000	20.2544	3.53843	0.0694391	1.92537	0.262816
16100	23.8154	4.87064	1.70897	1.95678	0.261757
16200	21.1882	4.37004	0.81354	1.40098	0.154366
16300	20.7434	3.70279	0.0201816	2.44724	0.34851
16400	18.2372	3.1214	0.31131	2.04727	0.418366
16500	20.1321	3.79832	0.692128	1.43532	0.224063
16600	20.5841	3.61634	0.219341	2.63494	0.255524
16700	21.823	4.26712	1.57653	1.88547	0.407365
16800	18.5323	4.33255	1.99766	0.904955	0.449938
16900	19.5063	3.49664	0.634177	1.57234	0.304687
17000	11.4385	2.02862	0.582626	1.36542	0.341267
17100	18.6298	3.6361	0.429047	1.18584	0.371608
17200	20.9514	3.90207	0.738651	1.71326	0.347672
17300	23.5737	4.74914	0.754099	2.22515	0.337846
17400	20.3189	3.89652	1.19532	1.40208	0.259034
17500	19.5175	3.46651	1.0859	1.72902	0.318705
17600	16.2483	2.7295	0.816174	1.99589	0.467332
17700	19.2763	3.70923	0.103779	1.56451	0.430043
17800	18.8805	3.22801	0.34227	1.90416	0.243414
17900	18.0173	3.23824	2.12152	1.65848	0.373478
